fecha,Mercado,Energia,Banca,Consumo,Tecnologia,Utilities
2016-01,0.027829,-0.017442,-0.001148,0.024577,-0.040911,-0.002418
2016-02,-0.012743,-0.039068,-0.082596,-0.056183,-0.040277,0.011649
2016-03,-0.006854,-0.085671,-0.064946,0.041484,0.14336,0.003796
2016-04,0.07521,0.097674,0.005177,0.041731,0.108054,0.085041
2016-05,-0.037624,-0.071945,-0.085126,-0.063163,0.029875,-0.015234
2016-06,-0.017311,-0.087486,0.073815,-0.032022,0.069059,-0.000763
2016-07,0.012134,-0.078603,0.063541,-0.033606,-0.028496,0.015725
2016-08,0.029341,0.039531,0.062638,0.05814,-0.004793,0.059818
2016-09,-0.031136,0.009065,-0.120983,-0.078523,-0.108981,-0.07843
2016-10,-0.00428,-0.154758,-0.113462,-0.015643,-0.076355,-0.055925
2016-11,0.053828,0.086884,-0.070931,0.0752,0.096187,0.046822
2016-12,-0.061493,-0.056795,-0.082,-0.045014,-0.191653,-0.035343
2017-01,-0.001299,-0.16774,-0.09824,-0.086609,-0.025901,-0.045531
2017-02,0.022133,0.061514,0.013386,-0.070673,0.067839,0.052646
2017-03,0.002599,-0.018921,0.044996,0.050226,0.027147,0.010558
2017-04,0.043762,-0.016853,-0.052164,0.099885,0.087512,0.040417
2017-05,0.054663,0.098282,0.132352,-0.033089,0.182007,0.042251
2017-06,-0.072575,-0.016556,-0.056069,-0.100371,-0.006112,-0.05498
2017-07,-0.034241,-0.0171,-0.015138,-0.042155,-0.1135,-0.032915
2017-08,-0.049969,-0.15777,-0.016702,-0.054992,-0.063158,-0.08529
2017-09,0.083989,0.211423,0.121448,0.095796,0.174993,0.072042
2017-10,-0.064768,-0.148072,0.02115,-0.046965,0.028955,-0.006
2017-11,0.003462,-0.016588,0.104172,0.054748,-0.118452,0.041434
2017-12,0.04681,0.10738,0.0941,-0.003605,-0.062163,0.041024
2018-01,-0.03538,-0.022027,0.056631,0.014898,-0.036251,0.019732
2018-02,-0.011118,0.034061,-0.103034,0.001434,0.128495,0.003984
2018-03,0.076108,0.053,0.091074,-0.02131,0.14065,0.047707
2018-04,0.053131,0.019128,0.154191,0.057658,-0.077936,0.047723
2018-05,0.032573,0.004585,0.130239,-0.001098,-0.099466,0.013209
2018-06,0.010505,-0.020607,-0.025819,0.021931,0.051528,0.041863
2018-07,-0.024109,-0.116383,0.048716,0.054256,-0.066973,-0.034562
2018-08,0.031754,-0.09322,-0.027987,0.062865,0.258694,0.013595
2018-09,-0.016222,-0.072222,-0.025978,0.039201,-0.143501,0.057651
2018-10,0.027376,-0.131719,0.015838,-0.032187,0.093207,0.038648
2018-11,0.083543,0.145956,0.10151,-0.023148,0.065392,0.061041
2018-12,0.004228,0.024346,0.053384,0.073993,0.100485,-0.010615
2019-01,0.021994,-0.068655,0.098309,0.047913,0.09859,-0.046125
2019-02,0.056383,0.07679,0.095723,0.134137,0.184946,0.061567
2019-03,-0.017644,0.096663,-0.025201,0.022203,0.010471,-0.029232
2019-04,-0.106701,-0.048996,-0.124836,-0.075517,-0.272119,-0.066901
2019-05,-0.014518,0.02143,0.019355,-0.013259,-0.024411,0.026656
2019-06,-0.041753,-0.13197,-0.114139,-0.050077,0.010979,-0.059232
2019-07,0.027801,-0.116522,0.034897,-0.049436,-0.154466,0.002479
2019-08,0.058981,0.052644,0.094562,0.016526,0.138746,0.060727
2019-09,0.016265,-0.021868,0.177815,0.014051,0.032916,-0.054521
2019-10,-0.088246,0.042593,-0.097548,-0.004718,-0.261127,-0.006744
2019-11,0.100015,0.068204,0.174626,0.060425,0.211667,0.084292
2019-12,0.016794,-0.044505,0.035205,-0.00476,-0.100255,-0.005626
2020-01,0.028452,-0.053048,0.046562,0.048525,0.025966,-0.001458
2020-02,-0.070304,-0.110407,-0.135808,-0.102291,-0.171487,-0.075339
2020-03,0.043173,-0.013784,0.077881,0.09997,0.04313,0.027105
2020-04,-0.026308,-0.067738,0.018175,-0.036283,-0.114238,0.008378
2020-05,-0.020863,0.031528,0.087645,-0.039005,-0.018904,-0.030547
2020-06,0.069878,0.082846,0.169391,0.077848,0.128026,-0.001558
2020-07,0.021629,-0.015178,-0.003148,-0.007277,-0.049773,0.015235
2020-08,0.038298,0.171522,0.116857,-0.007976,0.129069,0.032825
2020-09,-0.01912,0.02964,0.037659,-0.089548,-0.108712,-0.024262
2020-10,0.063689,0.162115,0.044616,0.038737,0.20386,0.021141
2020-11,0.012121,0.002139,0.018843,0.052182,-0.047232,0.018165
2020-12,0.049006,0.07281,0.089937,-0.061098,0.141167,0.02163
2021-01,-0.036956,-0.041239,0.12808,-0.058368,0.065608,-0.007806
2021-02,0.047385,-0.05279,0.062288,-0.016256,0.130325,0.045461
